Permutation,Accuracy,Manual Accuracy,Inverse Manual Accuracy,Difference
['activity'],0.6720164609053498,0.65761316,0.34238684,0.01440330267933665
['battery_status'],0.6223837209302325,0.6223837,0.3776163,7.208003527381379e-09
['interaction_time'],0.6186674008810573,0.6186674,0.3813326,-2.2844070857175325e-08
['covered'],0.6256890848952591,0.6256891,0.3743109,-4.402989195462226e-09
['location'],0.6011267605633803,0.6011268,0.39887324,-2.9483311569933335e-08
['locked'],0.6108048511576626,0.61080486,0.38919514,-4.66585425851207e-09
['volume_mode'],0.6108048511576626,0.61080486,0.38919514,-4.66585425851207e-09
"['activity', 'battery_status']",0.6484698097601324,0.63606286,0.36393714,0.012406949271240753
"['activity', 'interaction_time']",0.6399176954732511,0.6320988,0.36790124,0.007818901489791585
"['activity', 'covered']",0.6474464579901154,0.63138384,0.36861613,0.01606262172073669
"['activity', 'location']",0.6382189239332097,0.6289425,0.3710575,0.009276434309186232
"['activity', 'locked']",0.6536243822075782,0.64126855,0.35873148,0.012355830857938344
"['activity', 'volume_mode']",0.6462108731466227,0.63550246,0.36449754,0.010708415527909354
"['battery_status', 'interaction_time']",0.6255813953488372,0.6200581,0.37994185,0.005523276051809578
"['battery_status', 'covered']",0.6212209302325581,0.62122095,0.37877908,-1.6079392595180764e-08
"['battery_status', 'location']",0.616737416616131,0.616131,0.38386902,0.0006064089447748167
"['battery_status', 'locked']",0.6363372093023256,0.63372093,0.36627907,0.0026162749113038952
"['battery_status', 'volume_mode']",0.6348837209302326,0.634593,0.365407,0.00029071098150212915
"['covered', 'interaction_time']",0.6102535832414554,0.6063947,0.3936053,0.003858875084869706
"['location', 'interaction_time']",0.6061971830985915,0.59605634,0.40394366,0.010140840973652532
"['locked', 'interaction_time']",0.6097023153252481,0.61245865,0.38754135,-0.002756330972206733
"['volume_mode', 'interaction_time']",0.6284454244762955,0.61411244,0.38588753,0.014332987704902656
"['covered', 'location']",0.6178128523111612,0.6178129,0.38218716,-1.962182216708186e-08
"['covered', 'locked']",0.613561190738699,0.6135612,0.38643882,-2.2277811040360973e-08
"['covered', 'volume_mode']",0.6212789415656009,0.62127894,0.37872106,-6.57162102513098e-11
"['location', 'locked']",0.6206313416009019,0.613867,0.38613304,0.006764356756694179
"['location', 'volume_mode']",0.6054114994363021,0.60541147,0.3945885,2.9499931275545066e-08
"['locked', 'volume_mode']",0.6141124586549063,0.61411244,0.38588753,2.1883513445786207e-08
"['activity', 'battery_status', 'interaction_time']",0.6654259718775848,0.64929694,0.35070306,0.01612903250456843
"['activity', 'battery_status', 'covered']",0.6501240694789082,0.6331679,0.3668321,0.016956146982112563
"['activity', 'battery_status', 'location']",0.6619981325863679,0.63211954,0.3678805,0.02987859618652655
"['activity', 'battery_status', 'locked']",0.6563275434243176,0.6451613,0.3548387,0.011166272329041771
"['activity', 'battery_status', 'volume_mode']",0.6464019851116626,0.6319272,0.36807278,0.014474792900511457
"['activity', 'covered', 'interaction_time']",0.6383855024711697,0.6202636,0.3797364,0.018121925963601293
"['activity', 'location', 'interaction_time']",0.6437847866419295,0.64471245,0.35528758,-0.0009276614781876802
"['activity', 'locked', 'interaction_time']",0.6490939044481054,0.64003295,0.35996705,0.009060957384659396
"['activity', 'volume_mode', 'interaction_time']",0.6536243822075782,0.64456344,0.35543656,0.009060945699399525
"['activity', 'covered', 'location']",0.6716141001855288,0.6549165,0.34508348,0.016697575298443845
"['activity', 'covered', 'locked']",0.6515650741350906,0.6375618,0.36243823,0.014003276039387447
"['activity', 'covered', 'volume_mode']",0.6532125205930808,0.64003295,0.35996705,0.013179573529634725
"['activity', 'location', 'locked']",0.6484230055658627,0.62801486,0.37198517,0.02040814302847871
"['activity', 'location', 'volume_mode']",0.6428571428571429,0.6345084,0.36549166,0.00834877150399349
"['activity', 'locked', 'volume_mode']",0.6523887973640856,0.6363262,0.3636738,0.016062603554576338
"['battery_status', 'covered', 'interaction_time']",0.6281976744186046,0.62122095,0.37877908,0.006976728106653951
"['battery_status', 'location', 'interaction_time']",0.6173438447543966,0.63674957,0.36325046,-0.019405720846952246
"['battery_status', 'locked', 'interaction_time']",0.6305232558139535,0.6296512,0.37034884,0.0008720669635506884
"['battery_status', 'volume_mode', 'interaction_time']",0.6406976744186047,0.63052326,0.36947674,0.010174410010493129
"['battery_status', 'covered', 'location']",0.6306852637962401,0.62886596,0.371134,0.0018193065361082894
"['battery_status', 'covered', 'locked']",0.6273255813953489,0.6255814,0.37441862,0.0017441976902097256
"['battery_status', 'covered', 'volume_mode']",0.6273255813953489,0.6247093,0.3752907,0.002616273247918466
"['battery_status', 'location', 'locked']",0.6300788356579745,0.6264403,0.37355974,0.003638549021621973
"['battery_status', 'location', 'volume_mode']",0.624620982413584,0.6276531,0.37234688,-0.003032139534658196
"['battery_status', 'locked', 'volume_mode']",0.6395348837209303,0.6369186,0.3630814,0.0026162793469983736
"['covered', 'location', 'interaction_time']",0.6206313416009019,0.6087937,0.39120632,0.011837665701396327
"['covered', 'locked', 'interaction_time']",0.6113561190738699,0.6088754,0.39112458,0.00248072520637721
"['covered', 'volume_mode', 'interaction_time']",0.6375413450937155,0.63009924,0.36990076,0.0074421081285360735
"['location', 'locked', 'interaction_time']",0.6037204058624577,0.59413755,0.40586245,0.009582856462128087
"['location', 'volume_mode', 'interaction_time']",0.6240135287485907,0.61612177,0.38387823,0.007891759797174713
"['locked', 'volume_mode', 'interaction_time']",0.6287210584343991,0.62155455,0.37844542,0.007166504925640527
"['covered', 'location', 'locked']",0.5952649379932357,0.5856821,0.41431794,0.009582843896098203
