Permutation,Accuracy,Manual Accuracy,Inverse Manual Accuracy,Difference
['activity'],0.6329218149185181,0.6329218,0.36707819,0.0
['battery_status'],0.6319767236709595,0.6319767,0.36802325,0.0
[],0.6051762104034424,0.6051762,0.3948238,0.0
['covered'],0.6174200773239136,0.6174201,0.38257992,0.0
['location'],0.5977464914321899,0.5977465,0.4022535,0.0
['locked'],0.6234840154647827,0.623484,0.37651598,0.0
['volume_mode'],0.6083241701126099,0.60832417,0.39167586,0.0
"['activity', 'battery_status']",0.6401985287666321,0.6401985,0.3598015,0.0
['activity'],0.6473250985145569,0.6473251,0.3526749,0.0
"['activity', 'covered']",0.6548599600791931,0.65485996,0.34514004,0.0
"['activity', 'location']",0.6150278449058533,0.61502784,0.38497218,0.0
"['activity', 'locked']",0.6350905895233154,0.6350906,0.36490938,0.0
"['activity', 'volume_mode']",0.6243821978569031,0.6243822,0.3756178,0.0
['battery_status'],0.6331395506858826,0.63313955,0.36686048,0.0
"['battery_status', 'covered']",0.6270349025726318,0.6270349,0.37296513,0.0
"['battery_status', 'location']",0.6270467042922974,0.6270467,0.3729533,0.0
"['battery_status', 'locked']",0.6340116262435913,0.6340116,0.36598837,0.0
"['battery_status', 'volume_mode']",0.6273255944252014,0.6273256,0.3726744,0.0
['covered'],0.6210033297538757,0.6210033,0.3789967,0.0
['location'],0.593802809715271,0.5938028,0.4061972,0.0
['locked'],0.6165931820869446,0.6165932,0.38340685,0.0
['volume_mode'],0.6204520463943481,0.62045205,0.37954795,0.0
"['covered', 'location']",0.6003382205963135,0.6003382,0.39966178,0.0
"['covered', 'locked']",0.614388108253479,0.6143881,0.38561192,0.0
"['covered', 'volume_mode']",0.6171444058418274,0.6171444,0.38285556,0.0
"['location', 'locked']",0.5941375494003296,0.59413755,0.40586245,0.0
"['location', 'volume_mode']",0.6155580878257751,0.6155581,0.38444194,0.0
"['locked', 'volume_mode']",0.6174200773239136,0.6174201,0.38257992,0.0
"['activity', 'battery_status']",0.6418527960777283,0.6418528,0.35814723,0.0
"['activity', 'battery_status', 'covered']",0.6488834023475647,0.6488834,0.35111663,0.0
"['activity', 'battery_status', 'location']",0.6395891904830933,0.6395892,0.36041084,0.0
"['activity', 'battery_status', 'locked']",0.6348221898078918,0.6348222,0.36517784,0.0
"['activity', 'battery_status', 'volume_mode']",0.639371395111084,0.6393714,0.3606286,0.0
"['activity', 'covered']",0.6371499300003052,0.63714993,0.36285007,0.0
"['activity', 'location']",0.6057513952255249,0.6057514,0.3942486,0.0
"['activity', 'locked']",0.6322075724601746,0.6322076,0.36779243,0.0
"['activity', 'volume_mode']",0.6462108492851257,0.64621085,0.35378912,0.0
"['activity', 'covered', 'location']",0.643784761428833,0.64378476,0.3562152,0.0
"['activity', 'covered', 'locked']",0.6256178021430969,0.6256178,0.3743822,0.0
"['activity', 'covered', 'volume_mode']",0.6433278322219849,0.64332783,0.35667217,0.0
"['activity', 'location', 'locked']",0.6410018801689148,0.6410019,0.35899815,0.0
"['activity', 'location', 'volume_mode']",0.6474953889846802,0.6474954,0.35250464,0.0
"['activity', 'locked', 'volume_mode']",0.6243821978569031,0.6243822,0.3756178,0.0
"['battery_status', 'covered']",0.6395348906517029,0.6395349,0.3604651,0.0
"['battery_status', 'location']",0.6209824085235596,0.6209824,0.3790176,0.0
"['battery_status', 'locked']",0.6267442107200623,0.6267442,0.37325582,0.0
"['battery_status', 'volume_mode']",0.6415697932243347,0.6415698,0.35843024,0.0
"['battery_status', 'covered', 'location']",0.6118859648704529,0.61188596,0.388114,0.0
"['battery_status', 'covered', 'locked']",0.6308139562606812,0.63081396,0.36918604,0.0
"['battery_status', 'covered', 'volume_mode']",0.6287790536880493,0.62877905,0.37122092,0.0
